no,username,region,Weapon,kills,headshot(%)
286,KRÜ keznitdeuS#JEKE,na, Phantom ,"2,851",34.20%
287,KRÜ keznitdeuS#JEKE,na, Ghost ,"1,795",41.40%
288,PF PuReLittleone#yoruW,na, Vandal ,"23,092",33.10%
289,PF PuReLittleone#yoruW,na, Phantom ,"10,786",30.00%
290,PF PuReLittleone#yoruW,na, Ghost ,"3,048",39.00%
291,NOVEMBER#kun,na, Vandal ,"29,769",37.70%
292,NOVEMBER#kun,na, Phantom ,"8,724",31.30%
293,NOVEMBER#kun,na, Sheriff ,"4,033",48.00%
294,Timotino#2007,na, Vandal ,"26,017",44.20%
295,Timotino#2007,na, Phantom ,"17,679",39.30%
296,Timotino#2007,na, Operator ,"4,651",8.60%
297,BRKA stunna#2006,na, Vandal ,"26,740",41.50%
298,BRKA stunna#2006,na, Phantom ,"4,838",32.30%
299,BRKA stunna#2006,na, Ghost ,"3,487",44.80%
300,kazumo#iLL,na, Vandal ,"32,324",36.80%
301,kazumo#iLL,na, Phantom ,"16,434",27.30%
302,kazumo#iLL,na, Spectre ,"6,698",18.60%
303,KIMCHI#JIZEL,na, Vandal ,"16,335",34.50%
304,KIMCHI#JIZEL,na, Phantom ,"5,182",27.60%
305,KIMCHI#JIZEL,na, Spectre ,"2,737",20.90%
306,M80 eeiu#1da,na, Vandal ,"30,800",44.30%
307,M80 eeiu#1da,na, Phantom ,"5,299",37.50%
308,M80 eeiu#1da,na, Sheriff ,"3,091",53.00%
309,blockhead#porky,na, Vandal ,"12,614",44.20%
310,blockhead#porky,na, Ghost ,"1,547",46.10%
311,blockhead#porky,na, Phantom ,"1,477",38.40%
312,MIBR frz#2000,na, Vandal ,"11,782",43.70%
313,MIBR frz#2000,na, Phantom ,"6,767",38.00%
314,MIBR frz#2000,na, Ghost ,"1,889",42.50%
315,FaZe supamen#1929,na, Vandal ,"4,089",48.90%
316,FaZe supamen#1929,na, Phantom ,"3,146",40.90%
317,FaZe supamen#1929,na, Spectre ,846,31.40%
318,Tikka#naan,na, Vandal ,"10,693",45.30%
319,Tikka#naan,na, Phantom ,"2,235",33.70%
320,Tikka#naan,na, Spectre ,"1,507",30.70%
321,M80 Zander#swag,na, Vandal ,"32,510",40.80%
322,M80 Zander#swag,na, Phantom ,"12,633",32.40%
323,M80 Zander#swag,na, Ghost ,"4,016",47.40%
324,SR v1c#emiru,na, Vandal ,"15,982",42.00%
325,SR v1c#emiru,na, Phantom ,"5,886",27.30%
326,SR v1c#emiru,na, Ghost ,"2,253",42.90%
327,cavern#ttv,na, Vandal ,"38,692",38.10%
328,cavern#ttv,na, Phantom ,"14,882",31.70%
329,cavern#ttv,na, Sheriff ,"6,745",54.80%
330,FS Virtyy#503,na, Vandal ,"62,596",41.00%
331,FS Virtyy#503,na, Phantom ,"24,883",33.50%
332,FS Virtyy#503,na, Sheriff ,"11,688",56.40%
333,C9 Zellsis#1240,na, Phantom ,"23,612",30.60%
334,C9 Zellsis#1240,na, Vandal ,"22,344",38.60%
335,C9 Zellsis#1240,na, Spectre ,"5,151",25.70%
336,Kuro#Churo,na, Vandal ,"21,258",31.70%
337,Kuro#Churo,na, Phantom ,"11,700",28.10%
338,Kuro#Churo,na, Spectre ,"4,612",19.90%
339,FUR DGZTHEHERO M#IWMH,na, Vandal ,"43,668",42.80%
340,FUR DGZTHEHERO M#IWMH,na, Operator ,"14,569",6.10%
341,FUR DGZTHEHERO M#IWMH,na, Phantom ,"7,992",37.20%
342,duck#mae,na, Vandal ,"29,498",43.50%
343,duck#mae,na, Phantom ,"11,656",35.60%
344,duck#mae,na, Sheriff ,"5,451",61.70%
345,Neon#HARD,na, Operator ,"9,126",7.00%
346,Neon#HARD,na, Phantom ,"8,739",31.30%
347,Neon#HARD,na, Vandal ,"8,681",38.20%
348,KRÜ AXEDDY#demon,na, Vandal ,"32,459",36.80%
349,KRÜ AXEDDY#demon,na, Phantom ,"27,349",31.70%
350,KRÜ AXEDDY#demon,na, Spectre ,"6,420",24.00%
351,BabyJ#Halo,na, Vandal ,"35,048",40.20%
352,BabyJ#Halo,na, Phantom ,"29,140",34.80%
